Date, Open, High, Low, Close, Volume
04/07/22, 218.31, 218.68, 213.68, 216.15, 6995062
04/06/22, 222.78, 222.87, 218.62, 219.01, 7430023
04/05/22, 226.83, 228.99, 225.31, 226.09, 4657961
04/04/22, 225.76, 229.24, 224.96, 227.74, 8521645
04/01/22, 223.08, 226.63, 222.23, 226.36, 6559565
03/31/22, 223.91, 225.92, 220.44, 221.77, 10759520
03/30/22, 225.84, 226.16, 222.73, 223.95, 7084039
03/29/22, 224.84, 228.81, 223.78, 228.12, 8032486
03/28/22, 218.50, 220.98, 217.51, 220.77, 4316817
03/25/22, 218.42, 218.93, 215.6875, 218.43, 5052523
03/24/22, 214.99, 217.66, 214.00, 217.31, 5486991
03/23/22, 215.30, 217.285, 214.20, 214.68, 6007963
03/22/22, 217.84, 219.57, 217.175, 218.47, 6259942
03/21/22, 216.34, 218.055, 214.55, 217.04, 6101456
03/18/22, 211.70, 219.26, 210.29, 219.11, 14620820
03/17/22, 209.93, 213.54, 208.72, 213.45, 6668467
03/16/22, 210.00, 213.665, 207.00, 211.87, 9232292
03/15/22, 202.09, 206.41, 201.40, 206.14, 8277668
03/14/22, 198.42, 204.43, 198.16, 200.33, 7994657
03/11/22, 200.75, 200.84, 196.46, 196.71, 5432099
03/10/22, 196.90, 199.94, 196.30, 197.97, 7061604
03/09/22, 196.50, 200.50, 195.24, 199.76, 8457627
03/08/22, 190.01, 196.42, 186.67, 191.71, 11070890
03/07/22, 199.84, 200.18, 190.045, 190.70, 13412350
03/04/22, 205.00, 206.37, 196.86, 200.29, 10914620
03/03/22, 210.55, 211.50, 206.56, 207.23, 8610028
03/02/22, 206.90, 210.54, 206.19, 208.48, 8865706
03/01/22, 214.48, 215.15, 207.28, 208.97, 9317829
02/28/22, 216.00, 218.65, 213.24, 216.12, 8409382
02/25/22, 217.29, 220.68, 214.25, 219.27, 8463568
02/24/22, 203.37, 217.8626, 201.45, 217.30, 13463410
02/23/22, 222.84, 224.28, 215.42, 215.95, 8669920
02/22/22, 221.02, 224.34, 219.92, 221.32, 9928821
02/18/22, 224.60, 225.74, 221.84, 222.69, 8121159
02/17/22, 228.40, 228.81, 224.17, 224.61, 8131174
02/16/22, 227.50, 229.88, 225.595, 228.82, 9561287
02/15/22, 227.27, 229.29, 224.91, 227.82, 9461976
02/14/22, 223.29, 227.2601, 222.81, 225.34, 8280829
02/11/22, 227.25, 229.10, 223.54, 224.69, 7535206
02/10/22, 228.03, 229.95, 224.87, 225.59, 6794620
02/09/22, 230.13, 233.15, 230.12, 230.87, 7772795
02/08/22, 226.26, 228.50, 224.75, 227.94, 7542245
02/07/22, 228.00, 229.92, 226.01, 227.16, 5984549
02/04/22, 228.50, 230.22, 224.95, 228.39, 10848120
02/03/22, 233.04, 233.49, 230.55, 231.54, 9968000
02/02/22, 231.30, 235.85, 230.01, 235.42, 10590510
02/01/22, 226.90, 234.6101, 226.42, 232.36, 12247200
01/31/22, 225.55, 226.38, 222.05, 226.17, 12380640
01/28/22, 220.64, 228.12, 216.10, 228.00, 26425260
01/27/22, 209.50, 210.96, 205.85, 206.15, 12009810
01/26/22, 204.28, 210.86, 203.67, 205.87, 10817630
01/25/22, 199.62, 205.38, 196.99, 202.00, 12125530
01/24/22, 202.18, 202.72, 195.65, 201.85, 16071160
01/21/22, 215.46, 215.5998, 205.82, 205.93, 16200190
01/20/22, 214.72, 219.603, 213.94, 214.35, 8532719
01/19/22, 213.00, 218.23, 212.105, 214.68, 9399847
01/18/22, 215.88, 216.905, 214.33, 215.71, 9099883
01/14/22, 214.17, 218.245, 213.71, 214.67, 8838059
01/13/22, 216.85, 220.48, 214.655, 215.00, 8867716
01/12/22, 214.48, 217.58, 213.8101, 215.71, 6923316
01/11/22, 211.42, 214.945, 208.74, 214.38, 8803100
01/10/22, 213.975, 214.20, 206.50, 211.97, 11978560
01/07/22, 217.31, 220.20, 215.64, 216.96, 10702080
01/06/22, 217.80, 221.91, 217.55, 219.75, 7877498
01/05/22, 222.64, 225.27, 219.92, 220.00, 9594587
01/04/22, 222.00, 226.79, 221.81, 222.46, 10629270
01/03/22, 217.52, 222.06, 217.0101, 221.43, 7696504
12/31/21, 216.81, 217.98, 215.49, 216.71, 4723347
12/30/21, 217.97, 219.15, 217.15, 217.87, 3812844
12/29/21, 217.76, 218.94, 217.33, 218.17, 3223215
12/28/21, 216.01, 219.73, 215.58, 218.05, 4283621
12/27/21, 217.68, 218.12, 214.88, 217.63, 4819103
12/23/21, 218.44, 218.5174, 216.62, 216.62, 4798217
12/22/21, 213.85, 218.94, 213.85, 217.96, 6003398
12/21/21, 210.61, 216.16, 210.363, 215.38, 6993699
12/20/21, 209.09, 209.77, 206.86, 208.74, 9434415
12/17/21, 212.80, 213.21, 207.79, 211.88, 11663040
12/16/21, 215.29, 216.27, 211.61, 214.37, 8548404
12/15/21, 209.40, 212.49, 207.86, 212.31, 10892530
12/14/21, 210.73, 213.37, 208.45, 209.98, 9832274
12/13/21, 212.45, 213.32, 209.98, 211.02, 8844298
12/10/21, 211.90, 214.25, 210.86, 213.40, 8882718
12/09/21, 208.52, 212.20, 207.17, 211.39, 10176770
12/08/21, 207.66, 209.48, 205.71, 208.99, 11749210
12/07/21, 206.00, 207.94, 205.89, 207.37, 11897240
12/06/21, 198.77, 204.22, 197.74, 202.68, 10722100
12/03/21, 198.27, 198.47, 194.04, 196.32, 10660540
12/02/21, 192.00, 199.435, 191.85, 198.29, 13976280
12/01/21, 196.03, 196.81, 190.10, 190.16, 13213370
11/30/21, 195.27, 197.66, 192.56, 193.77, 16022980
11/29/21, 201.00, 201.25, 195.36, 196.29, 14633520
11/26/21, 193.32, 199.19, 192.55, 197.65, 10987550
11/24/21, 198.17, 203.95, 197.64, 203.25, 12026820
11/23/21, 196.97, 198.92, 194.38, 198.49, 14749100
11/22/21, 200.00, 201.70, 194.60, 195.58, 21191920
11/19/21, 202.04, 203.50, 199.85, 200.86, 18038730
11/18/21, 206.50, 207.87, 201.27, 203.33, 18292160
11/17/21, 205.95, 207.31, 199.46, 205.06, 38379566
11/16/21, 212.16, 215.65, 211.66, 215.18, 8719577
11/15/21, 213.62, 216.40, 211.81, 212.30, 9596933
11/12/21, 211.50, 213.58, 211.434, 212.09, 7660450
